date_time,date,time,latitude,longitude,depth_km,magnitude,location,hlink,details
06 October 2024 - 12:19 AM,2024-10-06,00:19:00,8.98,126.5,18.0,2.2,023 km N 74° E of Cagwait (Surigao Del Sur),https://earthquake.phivolcs.dost.gov.ph/2024_Earthquake_Information/October/2024_1005_1619_B1.html,"2024_1005_1619 DEPARTMENT OF SCIENCE AND TECHNOLOGY PHILIPPINE INSTITUTE OF VOLCANOLOGY AND SEISMOLOGY EARTHQUAKE INFORMATION NO. : 1 PHIVOLCS Building , C.P. Garcia Avenue, U.P.- Diliman , Quezon City, PHILIPPINES Tel.: 8426-1468 Fax: 8927-1087 Date/Time : 06 Oct 2024 - 12:19:13 AM Location : 08.98°N, 126.50°E - 023 km N 74° E of Cagwait (Surigao Del Sur) Depth of Focus (Km) : 018 Origin : TECTONIC Magnitude : Ms 2.2 Reported Intensities : 11.20a 2024_1005_1619_M22D018_B1 Expecting Damage : NO Expecting Aftershocks : NO Issued On : 06 Oct 2024 - 12:24 AM Prepared by : GBD/JMG/RFJ/RRDC IMPORTANT This will be the only bulletin issued unless additional information becomes available. Always refer to the latest earthquake information posted at the PHIVOLCS official website (https://www.phivolcs.dost.gov.ph)."
06 October 2024 - 12:10 AM,2024-10-06,00:10:00,7.55,126.09,32.0,2.1,005 km N 86° W of New Bataan (Davao De Oro),https://earthquake.phivolcs.dost.gov.ph/2024_Earthquake_Information/October/2024_1005_1610_B1.html,"2024_1005_1610 DEPARTMENT OF SCIENCE AND TECHNOLOGY PHILIPPINE INSTITUTE OF VOLCANOLOGY AND SEISMOLOGY EARTHQUAKE INFORMATION NO. : 1 PHIVOLCS Building , C.P. Garcia Avenue, U.P.- Diliman , Quezon City, PHILIPPINES Tel.: 8426-1468 Fax: 8927-1087 Date/Time : 06 Oct 2024 - 12:10:37 AM Location : 07.55°N, 126.09°E - 005 km N 86° W of New Bataan (Davao De Oro) Depth of Focus (Km) : 032 Origin : TECTONIC Magnitude : Ms 2.1 Reported Intensities : 11.20a 2024_1005_1610_M21D032_B1 Expecting Damage : NO Expecting Aftershocks : NO Issued On : 06 Oct 2024 - 12:17 AM Prepared by : GBD/JMG/RFJ/RRDC IMPORTANT This will be the only bulletin issued unless additional information becomes available. Always refer to the latest earthquake information posted at the PHIVOLCS official website (https://www.phivolcs.dost.gov.ph)."
05 October 2024 - 11:57 PM,2024-10-05,23:57:00,9.54,125.26,15.0,2.0,017 km S 61° W of Malimono (Surigao Del Norte),https://earthquake.phivolcs.dost.gov.ph/2024_Earthquake_Information/October/2024_1005_1557_B1.html,"2024_1005_1557 DEPARTMENT OF SCIENCE AND TECHNOLOGY PHILIPPINE INSTITUTE OF VOLCANOLOGY AND SEISMOLOGY EARTHQUAKE INFORMATION NO. : 1 PHIVOLCS Building , C.P. Garcia Avenue, U.P.- Diliman , Quezon City, PHILIPPINES Tel.: 8426-1468 Fax: 8927-1087 Date/Time : 05 Oct 2024 - 11:57:12 PM Location : 09.54°N, 125.26°E - 017 km S 61° W of Malimono (Surigao Del Norte) Depth of Focus (Km) : 015 Origin : TECTONIC Magnitude : Ms 2.0 Reported Intensities : 11.20a 2024_1005_1557_M20D015_B1 Expecting Damage : NO Expecting Aftershocks : NO Issued On : 06 Oct 2024 - 12:02 AM Prepared by : JMG/RDCC/RFJ/GBD IMPORTANT This will be the only bulletin issued unless additional information becomes available. Always refer to the latest earthquake information posted at the PHIVOLCS official website (https://www.phivolcs.dost.gov.ph)."
05 October 2024 - 11:55 PM,2024-10-05,23:55:00,9.82,126.49,24.0,1.5,037 km N 83° E of General Luna (Surigao Del Norte),https://earthquake.phivolcs.dost.gov.ph/2024_Earthquake_Information/October/2024_1005_1555_B1.html,"2024_1005_1555 DEPARTMENT OF SCIENCE AND TECHNOLOGY PHILIPPINE INSTITUTE OF VOLCANOLOGY AND SEISMOLOGY EARTHQUAKE INFORMATION NO. : 1 PHIVOLCS Building , C.P. Garcia Avenue, U.P.- Diliman , Quezon City, PHILIPPINES Tel.: 8426-1468 Fax: 8927-1087 Date/Time : 05 Oct 2024 - 11:55:45 PM Location : 09.82°N, 126.49°E - 037 km N 83° E of General Luna (Surigao Del Norte) Depth of Focus (Km) : 024 Origin : TECTONIC Magnitude : Ms 1.5 Reported Intensities : 11.20a 2024_1005_1555_M15D024_B1 Expecting Damage : NO Expecting Aftershocks : NO Issued On : 06 Oct 2024 - 12:00 AM Prepared by : GBD/JMG/RFJ/RRDC IMPORTANT This will be the only bulletin issued unless additional information becomes available. Always refer to the latest earthquake information posted at the PHIVOLCS official website (https://www.phivolcs.dost.gov.ph)."
05 October 2024 - 11:52 PM,2024-10-05,23:52:00,10.07,126.75,10.0,4.0,072 km N 64° E of General Luna (Surigao Del Norte),https://earthquake.phivolcs.dost.gov.ph/2024_Earthquake_Information/October/2024_1005_1552_B1.html,"2024_1005_1552 DEPARTMENT OF SCIENCE AND TECHNOLOGY PHILIPPINE INSTITUTE OF VOLCANOLOGY AND SEISMOLOGY EARTHQUAKE INFORMATION NO. : 1 PHIVOLCS Building , C.P. Garcia Avenue, U.P.- Diliman , Quezon City, PHILIPPINES Tel.: 8426-1468 Fax: 8927-1087 Date/Time : 05 Oct 2024 - 11:52:57 PM Location : 10.07°N, 126.75°E - 072 km N 64° E of General Luna (Surigao Del Norte) Depth of Focus (Km) : 010 Origin : TECTONIC Magnitude : M 4.0 Reported Intensities : 2024_1005_1552_B1 This is an automatic solution. Expecting Damage : NO Expecting Aftershocks : NO Issued On : 05 Oct 2024 - 11:55 PM Prepared by : JMG/RDCC/RFJ/GBD IMPORTANT This will be the only bulletin issued unless additional information becomes available. Always refer to the latest earthquake information posted at the PHIVOLCS official website (https://www.phivolcs.dost.gov.ph)."
05 October 2024 - 11:42 PM,2024-10-05,23:42:00,9.97,126.49,17.0,2.2,042 km N 60° E of General Luna (Surigao Del Norte),https://earthquake.phivolcs.dost.gov.ph/2024_Earthquake_Information/October/2024_1005_1542_B1.html,"2024_1005_1542 DEPARTMENT OF SCIENCE AND TECHNOLOGY PHILIPPINE INSTITUTE OF VOLCANOLOGY AND SEISMOLOGY EARTHQUAKE INFORMATION NO. : 1 PHIVOLCS Building , C.P. Garcia Avenue, U.P.- Diliman , Quezon City, PHILIPPINES Tel.: 8426-1468 Fax: 8927-1087 Date/Time : 05 Oct 2024 - 11:42:58 PM Location : 09.97°N, 126.49°E - 042 km N 60° E of General Luna (Surigao Del Norte) Depth of Focus (Km) : 017 Origin : TECTONIC Magnitude : Ms 2.2 Reported Intensities : 11.20a 2024_1005_1542_M22D017_B1 Expecting Damage : NO Expecting Aftershocks : NO Issued On : 05 Oct 2024 - 11:50 PM Prepared by : GBD/JMG/RFJ/RRDC IMPORTANT This will be the only bulletin issued unless additional information becomes available. Always refer to the latest earthquake information posted at the PHIVOLCS official website (https://www.phivolcs.dost.gov.ph)."
05 October 2024 - 11:38 PM,2024-10-05,23:38:00,9.99,126.59,15.0,2.9,053 km N 64° E of General Luna (Surigao Del Norte),https://earthquake.phivolcs.dost.gov.ph/2024_Earthquake_Information/October/2024_1005_1538_B1.html,"2024_1005_1538 DEPARTMENT OF SCIENCE AND TECHNOLOGY PHILIPPINE INSTITUTE OF VOLCANOLOGY AND SEISMOLOGY EARTHQUAKE INFORMATION NO. : 1 PHIVOLCS Building , C.P. Garcia Avenue, U.P.- Diliman , Quezon City, PHILIPPINES Tel.: 8426-1468 Fax: 8927-1087 Date/Time : 05 Oct 2024 - 11:38:42 PM Location : 09.99°N, 126.59°E - 053 km N 64° E of General Luna (Surigao Del Norte) Depth of Focus (Km) : 015 Origin : TECTONIC Magnitude : Ms 2.9 Reported Intensities : 11.20a 2024_1005_1538_M29D014_B1 Expecting Damage : NO Expecting Aftershocks : NO Issued On : 05 Oct 2024 - 11:44 PM Prepared by : GBD/JMG/RFJ/RRDC IMPORTANT This will be the only bulletin issued unless additional information becomes available. Always refer to the latest earthquake information posted at the PHIVOLCS official website (https://www.phivolcs.dost.gov.ph)."
05 October 2024 - 11:13 PM,2024-10-05,23:13:00,10.1,126.75,10.0,3.8,073 km N 61° E of General Luna (Surigao Del Norte),https://earthquake.phivolcs.dost.gov.ph/2024_Earthquake_Information/October/2024_1005_1513_B1.html,"2024_1005_1513 DEPARTMENT OF SCIENCE AND TECHNOLOGY PHILIPPINE INSTITUTE OF VOLCANOLOGY AND SEISMOLOGY EARTHQUAKE INFORMATION NO. : 1 PHIVOLCS Building , C.P. Garcia Avenue, U.P.- Diliman , Quezon City, PHILIPPINES Tel.: 8426-1468 Fax: 8927-1087 Date/Time : 05 Oct 2024 - 11:13:07 PM Location : 10.10°N, 126.75°E - 073 km N 61° E of General Luna (Surigao Del Norte) Depth of Focus (Km) : 010 Origin : TECTONIC Magnitude : M 3.8 Reported Intensities : 2024_1005_1513_B1 This is an automatic solution. Expecting Damage : NO Expecting Aftershocks : NO Issued On : 05 Oct 2024 - 11:15 PM Prepared by : GBD/JMG/RFJ/RRDC IMPORTANT This will be the only bulletin issued unless additional information becomes available. Always refer to the latest earthquake information posted at the PHIVOLCS official website (https://www.phivolcs.dost.gov.ph)."
05 October 2024 - 11:11 PM,2024-10-05,23:11:00,9.83,126.01,2.0,2.5,006 km S 45° E of Del Carmen (Surigao Del Norte),https://earthquake.phivolcs.dost.gov.ph/2024_Earthquake_Information/October/2024_1005_1511_B1.html,"2024_1005_1511 DEPARTMENT OF SCIENCE AND TECHNOLOGY PHILIPPINE INSTITUTE OF VOLCANOLOGY AND SEISMOLOGY EARTHQUAKE INFORMATION NO. : 1 PHIVOLCS Building , C.P. Garcia Avenue, U.P.- Diliman , Quezon City, PHILIPPINES Tel.: 8426-1468 Fax: 8927-1087 Date/Time : 05 Oct 2024 - 11:11:51 PM Location : 09.83°N, 126.01°E - 006 km S 45° E of Del Carmen (Surigao Del Norte) Depth of Focus (Km) : 002 Origin : TECTONIC Magnitude : M 2.5 Reported Intensities : 2024_1005_1511_B1 This is an automatic solution. Expecting Damage : NO Expecting Aftershocks : NO Issued On : 05 Oct 2024 - 11:13 PM Prepared by : GBD/JMG/RFJ/RRDC IMPORTANT This will be the only bulletin issued unless additional information becomes available. Always refer to the latest earthquake information posted at the PHIVOLCS official website (https://www.phivolcs.dost.gov.ph)."
05 October 2024 - 11:10 PM,2024-10-05,23:10:00,18.27,121.13,17.0,1.8,009 km N 78° E of Calanasan (Apayao),https://earthquake.phivolcs.dost.gov.ph/2024_Earthquake_Information/October/2024_1005_1510_B1.html,"2024_1005_1510 DEPARTMENT OF SCIENCE AND TECHNOLOGY PHILIPPINE INSTITUTE OF VOLCANOLOGY AND SEISMOLOGY EARTHQUAKE INFORMATION NO. : 1 PHIVOLCS Building , C.P. Garcia Avenue, U.P.- Diliman , Quezon City, PHILIPPINES Tel.: 8426-1468 Fax: 8927-1087 Date/Time : 05 Oct 2024 - 11:10:28 PM Location : 18.27°N, 121.13°E - 009 km N 78° E of Calanasan (Apayao) Depth of Focus (Km) : 017 Origin : TECTONIC Magnitude : Ms 1.8 Reported Intensities : 11.20a 2024_1005_1510_M18D017_B1 Expecting Damage : NO Expecting Aftershocks : NO Issued On : 05 Oct 2024 - 11:14 PM Prepared by : JMG/RDCC/RFJ/GBD IMPORTANT This will be the only bulletin issued unless additional information becomes available. Always refer to the latest earthquake information posted at the PHIVOLCS official website (https://www.phivolcs.dost.gov.ph)."
05 October 2024 - 11:02 PM,2024-10-05,23:02:00,18.97,121.02,13.0,2.4,025 km S 52° W of Dalupiri Island (Calayan) (Cagayan),https://earthquake.phivolcs.dost.gov.ph/2024_Earthquake_Information/October/2024_1005_1502_B1.html,"2024_1005_1502 DEPARTMENT OF SCIENCE AND TECHNOLOGY PHILIPPINE INSTITUTE OF VOLCANOLOGY AND SEISMOLOGY EARTHQUAKE INFORMATION NO. : 1 PHIVOLCS Building , C.P. Garcia Avenue, U.P.- Diliman , Quezon City, PHILIPPINES Tel.: 8426-1468 Fax: 8927-1087 Date/Time : 05 Oct 2024 - 11:02:35 PM Location : 18.97°N, 121.02°E - 025 km S 52° W of Dalupiri Island (Calayan) (Cagayan) Depth of Focus (Km) : 013 Origin : TECTONIC Magnitude : Ms 2.4 Reported Intensities : 11.20a 2024_1005_1502_M24D012_B1 Expecting Damage : NO Expecting Aftershocks : NO Issued On : 05 Oct 2024 - 11:05 PM Prepared by : JMG/RDCC/RFJ/GBD IMPORTANT This will be the only bulletin issued unless additional information becomes available. Always refer to the latest earthquake information posted at the PHIVOLCS official website (https://www.phivolcs.dost.gov.ph)."
05 October 2024 - 11:01 PM,2024-10-05,23:01:00,10.58,126.57,10.0,3.7,082 km N 41° E of Burgos (Surigao Del Norte),https://earthquake.phivolcs.dost.gov.ph/2024_Earthquake_Information/October/2024_1005_1501_B1.html,"2024_1005_1501 DEPARTMENT OF SCIENCE AND TECHNOLOGY PHILIPPINE INSTITUTE OF VOLCANOLOGY AND SEISMOLOGY EARTHQUAKE INFORMATION NO. : 1 PHIVOLCS Building , C.P. Garcia Avenue, U.P.- Diliman , Quezon City, PHILIPPINES Tel.: 8426-1468 Fax: 8927-1087 Date/Time : 05 Oct 2024 - 11:01:50 PM Location : 10.58°N, 126.57°E - 082 km N 41° E of Burgos (Surigao Del Norte) Depth of Focus (Km) : 010 Origin : TECTONIC Magnitude : M 3.7 Reported Intensities : 2024_1005_1501_B1 This is an automatic solution. Expecting Damage : NO Expecting Aftershocks : NO Issued On : 05 Oct 2024 - 11:03 PM Prepared by : GBD/JMG/RFJ/RRDC IMPORTANT This will be the only bulletin issued unless additional information becomes available. Always refer to the latest earthquake information posted at the PHIVOLCS official website (https://www.phivolcs.dost.gov.ph)."
05 October 2024 - 10:45 PM,2024-10-05,22:45:00,9.89,126.55,14.0,2.2,045 km N 75° E of General Luna (Surigao Del Norte),https://earthquake.phivolcs.dost.gov.ph/2024_Earthquake_Information/October/2024_1005_1445_B1.html,"2024_1005_1445 DEPARTMENT OF SCIENCE AND TECHNOLOGY PHILIPPINE INSTITUTE OF VOLCANOLOGY AND SEISMOLOGY EARTHQUAKE INFORMATION NO. : 1 PHIVOLCS Building , C.P. Garcia Avenue, U.P.- Diliman , Quezon City, PHILIPPINES Tel.: 8426-1468 Fax: 8927-1087 Date/Time : 05 Oct 2024 - 10:45:40 PM Location : 09.89°N, 126.55°E - 045 km N 75° E of General Luna (Surigao Del Norte) Depth of Focus (Km) : 014 Origin : TECTONIC Magnitude : Ms 2.2 Reported Intensities : 11.20a 2024_1005_1445_M22D013_B1 Expecting Damage : NO Expecting Aftershocks : NO Issued On : 05 Oct 2024 - 11:57 PM Prepared by : GBD/JMG/RFJ/RRDC IMPORTANT This will be the only bulletin issued unless additional information becomes available. Always refer to the latest earthquake information posted at the PHIVOLCS official website (https://www.phivolcs.dost.gov.ph)."
